k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
18,14,audio,47,10.499999999999998,True,suppression,10.499999999999998,54.83333333333333,False,41.166666666666664,-0.8108063463835006,41.166666666666664,-0.8108063463835006,87.83333333333333,0.7902313160234468,-0.08219202330924343,0.1328374366557262
18,14,picture,47,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,58.49999999999999,-1.1537542371673788,20.5,-1.1021200824291149,58.49999999999999,-1.1537542371673788,-0.6224702783302974,-0.5746814157424218
18,14,reading,47,1.1666666666666667,True,suppression,1.1666666666666667,50.166666666666664,True,45.49999999999999,-1.7737218293737858,45.49999999999999,-1.7737218293737858,53.83333333333333,-1.6753652000680883,-0.9996365545180889,-0.8594740902699022
18,15,audio,253,2.833333333333333,True,activation,2.833333333333333,61.83333333333333,False,4.5,1.0596995788392622,4.5,1.0596995788392622,71.5,0.9080868136145086,0.5207783216595157,0.6012639620003697
18,15,picture,253,65.16666666666667,True,activation,,65.16666666666667,False,74.16666666666667,0.7851484491224787,2.1666666666666665,-0.19670315388094986,74.16666666666667,0.7851484491224787,0.19230915139577126,0.43270355706900393
18,15,reading,253,72.83333333333333,True,activation,,72.83333333333333,False,82.5,0.7129820869322645,45.83333333333333,-0.22684756436720196,82.5,0.7129820869322645,0.08641862047727732,0.2663615366823523
18,16,audio,3,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,43.166666666666664,-8.63192621866862,43.166666666666664,-8.63192621866862,52.83333333333333,-7.953717867533366,-4.399192234537848,-4.203574111130503
18,16,picture,3,3.1666666666666665,True,suppression,3.1666666666666665,50.166666666666664,True,63.166666666666664,-4.392620325088501,46.49999999999999,-2.53843887646993,63.166666666666664,-4.392620325088501,-1.0882800459737576,-0.5307526757236981
18,16,reading,3,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,68.16666666666667,-6.125654379526774,49.83333333333333,-3.815655787785848,68.16666666666667,-6.125654379526774,-2.3187914479585987,-2.975449696199761
18,17,audio,164,58.166666666666664,True,activation,,58.166666666666664,False,69.5,1.3605407076808282,34.166666666666664,-0.4508532093377875,69.5,1.3605407076808282,0.2767321729807787,0.7104609124944502
