sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
42,3,3,3,4,4,4,4,4,4,4,5
43,3,3,3,4,4,4,4,4,4,4,5
44,3,3,3,4,4,4,4,4,4,4,5
45,3,3,3,4,4,4,4,4,4,4,5
46,7,8,9,10,10,11,12,12,12,13,14
47,7,8,9,10,10,11,12,12,12,13,14
48,7,8,9,10,10,11,12,12,12,13,14
49,7,8,9,10,10,11,12,12,12,13,14
50,7,8,9,10,10,11,12,12,12,13,14
51,7,8,9,10,10,11,12,12,12,13,14
52,7,8,9,10,10,11,12,12,12,13,14
53,7,8,9,10,10,11,12,12,12,13,14
54,7,8,9,10,10,11,12,12,12,13,14
55,7,8,9,10,10,11,12,12,12,13,14
56,7,8,9,10,10,11,12,12,12,13,14
57,7,8,9,10,10,11,12,12,12,13,14
58,7,8,9,10,10,11,12,12,12,13,14
59,7,8,9,10,10,11,12,12,12,13,14
60,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,8,9,10,11,11,12,13,14,14,15,16
64,8,9,10,11,11,12,13,14,14,15,16
65,7,8,9,10,10,11,12,12,12,13,14
66,7,8,9,10,10,11,12,12,12,13,14
67,7,8,9,10,10,11,12,12,12,13,14
68,7,8,9,10,10,11,12,12,12,13,14
69,7,8,9,10,10,11,12,12,12,13,14
70,7,8,9,10,10,11,12,12,12,13,14
71,7,8,9,10,10,11,12,12,12,13,14
72,7,8,9,10,10,11,12,12,12,13,14
73,7,8,9,10,10,11,12,12,12,13,14
74,7,8,9,10,10,11,12,12,12,13,14
75,7,8,9,10,10,11,12,12,12,13,14
76,8,9,10,11,11,12,13,14,14,15,16
77,8,9,10,11,11,12,13,14,14,15,16
78,8,9,10,11,11,12,13,14,14,15,16
79,8,9,10,11,11,12,13,14,14,15,16
80,8,9,10,11,11,12,13,14,14,15,16
81,8,9,10,11,11,12,13,14,14,15,16
82,8,9,10,11,11,12,13,14,14,15,16
83,8,9,10,11,11,12,13,14,14,15,16
84,8,9,10,11,11,12,13,14,14,15,16
85,8,9,10,11,11,12,13,14,14,15,16
86,8,9,10,11,11,12,13,14,14,15,16
87,9,10,11,12,12,13,14,15,16,17,18
88,9,10,11,12,12,13,14,15,16,17,18
89,8,9,10,11,11,12,13,14,14,15,16
90,8,9,10,11,11,12,13,14,14,15,16
91,8,9,10,11,11,12,13,14,14,15,16
92,7,8,9,10,10,11,12,12,12,13,14
93,7,8,9,10,10,11,12,12,12,13,14
94,7,8,9,10,10,11,12,12,12,13,14
95,7,8,9,10,10,11,12,12,12,13,14
96,7,8,9,10,10,11,12,12,12,13,14
97,9,10,11,12,12,13,14,15,16,17,18
98,9,10,11,12,12,13,14,15,16,17,18
99,9,10,11,12,12,13,14,15,16,17,18
100,9,10,11,12,12,13,14,15,16,17,18
101,9,10,11,12,12,13,14,15,16,17,18
102,9,10,11,12,12,13,14,15,16,17,18
103,3,3,4,5,5,5,5,5,5,5,6
104,3,3,4,5,5,5,5,5,5,5,6
105,3,3,4,5,5,5,5,5,5,5,6
106,3,3,4,5,5,5,5,5,5,5,6
107,3,3,4,5,5,5,5,5,5,5,6
108,3,3,4,5,5,5,5,5,5,5,6
109,3,3,4,5,5,5,5,5,5,5,6
110,3,3,4,5,5,5,5,5,5,5,6
111,3,3,4,5,5,5,5,5,5,5,6
112,3,3,4,5,5,5,5,5,5,5,6
113,3,3,4,5,5,5,5,5,5,5,6
