sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
491,3,5,10,1,4,4,4,0,4,15,7
492,7,4,1,2,11,3,10,10,0,14,5
493,1,1,1,10,1,1,3,6,10,7,18
494,3,5,10,1,4,4,5,11,4,15,7
495,3,5,10,1,4,4,4,0,4,15,7
496,2,8,0,3,12,9,12,12,12,11,1
497,3,5,10,1,4,4,4,0,4,15,6
498,3,5,10,10,1,4,3,7,6,7,18
499,3,5,10,1,4,4,5,11,4,15,7
500,3,5,10,1,4,13,4,0,4,15,7
501,3,5,10,1,4,13,4,0,4,15,7
502,0,0,2,8,13,13,4,5,13,5,17
503,0,0,2,8,13,13,4,0,13,15,17
504,3,5,10,1,4,4,5,11,4,15,7
505,3,5,10,1,4,4,4,0,4,15,7
506,3,5,10,1,4,4,4,0,4,15,7
507,3,5,10,1,4,13,4,0,4,15,16
508,3,5,10,1,4,4,4,0,4,15,7
509,2,8,0,3,7,2,12,3,7,2,1
510,3,5,10,1,4,4,4,0,4,15,7
511,3,5,10,1,4,4,5,11,4,15,7
512,9,4,7,4,0,6,10,10,8,6,9
513,7,6,4,12,10,7,13,14,17,4,2
514,7,6,4,12,10,7,13,14,17,4,2
515,6,4,7,4,3,6,10,10,8,6,9
516,6,4,7,4,3,6,10,10,8,6,9
517,6,4,5,2,3,12,10,10,5,6,12
518,6,4,10,4,3,6,10,10,8,6,7
519,6,4,7,4,3,6,10,10,8,6,9
520,7,6,4,12,10,7,13,14,17,4,2
521,0,0,2,8,13,13,4,4,13,9,3
522,6,4,7,4,3,6,4,4,13,9,9
523,6,4,7,4,3,6,10,10,8,6,9
524,6,4,7,2,3,6,10,10,8,6,9
525,6,4,5,2,11,12,10,10,5,14,12
526,6,4,7,4,3,6,10,10,8,6,9
527,6,4,7,4,3,6,10,10,8,6,9
528,0,0,2,8,13,13,8,5,13,5,17
529,6,4,7,4,3,6,10,10,8,6,9
530,0,0,2,8,13,13,4,5,13,5,17
531,0,0,2,8,13,13,4,0,13,9,16
532,6,4,7,4,3,6,10,10,8,6,9
533,6,4,5,2,11,12,11,16,5,14,12
534,9,10,4,4,0,5,1,14,1,16,8
535,9,6,4,6,0,7,13,14,15,4,8
536,6,4,7,4,3,6,10,10,8,6,9
537,6,4,7,4,3,6,10,10,8,6,9
538,6,4,7,4,3,6,10,10,8,6,9
539,9,10,7,4,0,5,1,15,1,1,9
540,9,10,4,4,0,5,1,15,1,16,8
541,1,4,9,0,5,0,0,4,0,9,3
542,1,3,1,7,5,0,0,4,0,17,3
543,1,3,1,7,8,3,14,2,0,17,5
544,1,3,1,7,8,3,11,2,0,17,5
545,7,4,1,12,10,12,10,10,0,4,2
546,0,4,11,8,10,13,4,0,11,0,16
547,7,3,1,7,8,3,10,10,0,17,5
548,7,4,7,4,3,6,10,10,8,4,5
549,1,1,1,10,5,3,0,4,0,7,5
550,3,3,1,7,8,3,5,11,0,7,5
551,1,1,9,10,1,1,3,6,10,7,18
552,1,1,9,10,1,1,3,6,10,7,18
553,1,5,9,10,1,4,5,11,4,7,7
554,1,1,9,10,1,1,0,4,10,9,6
555,0,0,2,8,5,0,0,4,13,9,3
556,7,4,7,4,3,6,10,10,8,4,5
557,1,5,9,1,5,0,0,4,0,9,3
558,1,1,9,10,5,0,0,4,10,9,3
559,1,1,9,10,1,1,0,4,10,9,18
560,1,1,9,10,1,1,3,6,10,7,18
561,5,7,3,5,9,14,3,6,10,3,11
562,1,3,1,7,8,3,5,11,0,17,18
563,6,4,7,4,3,6,10,10,8,6,9
564,9,10,4,6,0,5,1,15,1,16,8
565,9,6,4,6,0,7,13,14,15,16,8
566,9,6,4,6,0,7,13,14,15,16,8
567,3,5,10,1,1,1,4,0,13,9,6
