k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,5,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,18,18,22,18,22,18,18
4,0,6,1,8,9,9,4,9,9,9,9,9,9,18,10,18,18,22,22,22,22,22,22,18,18
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,17,17,9,17,17,17,9,9,9,9,17,9,9
1,1,1,6,1,7,7,10,7,6,7,7,2,17,9,9,9,9,9,9,9,9,9,17,9,9
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,15,27,4,27
1,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15
